,MultiFamily-CA,Education,Hotels,Restaurants,Retail Trade,HFW-CI,SingleFamily,MultiFamily
Aluminum_Other,0.00738967775657896,0.002170159151258785,0.004325707349109152,0.0016408648412739697,0.0006089378842749351,0.0014296792296551398,0.0030115704075275463,0.006340310374390699
Ferrous_Non_recyclable,0.008158205746868359,0.003513804170550093,0.010000686018671706,0.0024332213019051313,0.0008577447923031655,0.0022856944290524438,0.001509616718277167,0.0015966475030399936
Al_Non_recyclable,0.0,0.0,0.0,0.0,0.0,0.0,0.0022605935629023566,0.0024007562092811497
Glass_Brown,0.010712372139772008,2.555283072104989e-06,0.01458673187112282,0.01590418144261352,0.002349521608901767,0.008632200961855805,0.009027048193555851,0.01121847344300836
Glass_Green,0.00830567182563483,0.0003722692825344922,0.025446852165023008,0.015271010472976305,0.001900790905695411,0.008661355118842588,0.009027048193555851,0.01121847344300836
Glass_Clear,0.022813694043559592,0.0033909315588257303,0.04234323603812051,0.021180417322771344,0.00512741310367048,0.013615362209415357,0.009027048193555851,0.01121847344300836
Mixed_Glass,0.0011375491878455686,0.0,0.004573500313572502,1.683670396787013e-05,0.0,0.00019048910443276686,0.006774117659680282,0.00719648367312229
Glass_Non_recyclable,0.0037227849285284935,0.0010377432174618183,0.006843834829539729,0.0016492811768861722,0.0011659639985003754,0.0015936929314038315,0.009027048193555851,0.01121847344300836
Misc_Organic,0.07378964680177051,0.03686546521087802,0.038188506144941875,0.010395281469151191,0.004439422664940464,0.012777665382611566,0.035387868045705366,0.037579065868651444
Misc_Inorganic,0.0,0.0,0.0,0.0,0.0,0.0,0.034382861788842166,0.029539425044920173
E_waste,0.016625979478822935,0.0041319354894737495,0.0024555372713950985,5.9180510354130355e-05,0.0003832098460934403,0.0008179613981993476,0.006774117659680282,0.00719648367312229
Bottom_Ash,0.0008709024973108794,0.0,0.006716490125839872,0.005301294339865694,0.0,0.0026562853982114993,0.0,0.0
Fly_Ash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diapers_and_sanitary_products,0.0,0.0,0.0,0.0,0.0,0.0,0.02560217997849754,0.027189287189449168
